Gerçek_Fiyat,Tahmin_Fiyat,Hata,Mutlak_Hata,Yüzde_Hata,Tahmin_MLP,Tahmin_LSTM,Tahmin_Transformer,Tahmin_Ensemble,Tahmin_Basit_Ensemble
45301.566,47636.72,2335.1523,2335.1523,5.1546836,38892.277,42419.383,47636.72,41685.906,42982.793
47147.2,49096.19,1948.9922,1948.9922,4.1338453,40185.773,43183.754,49096.19,42727.645,44155.24
47771.277,51364.645,3593.3672,3593.3672,7.522024,42540.633,44740.86,51364.645,44664.816,46215.38
48293.918,53418.426,5124.508,5124.508,10.611083,42249.24,45268.125,53418.426,45057.566,46978.594
49958.223,53976.85,4018.629,4018.629,8.043979,42112.54,45595.363,53976.85,45236.797,47228.25
49742.44,56113.46,6371.0195,6371.0195,12.808016,43850.746,46894.81,56113.46,46795.77,48953.004
51826.695,56316.164,4489.4688,4489.4688,8.662464,43067.082,46682.49,56316.164,46415.934,48688.58
51938.555,57956.04,6017.4844,6017.4844,11.585775,43989.195,48577.566,57956.04,47916.812,50174.27
52160.203,59047.723,6887.5195,6887.5195,13.204549,44121.156,48903.77,59047.723,48256.766,50690.88
51662.996,59754.914,8091.918,8091.918,15.6628895,46279.742,49464.88,59754.914,49434.188,51833.176
52122.547,60071.793,7949.246,7949.246,15.25107,44982.855,49190.406,60071.793,48842.812,51415.02
51779.145,60107.89,8328.746,8328.746,16.085136,45773.55,49810.824,60107.89,49460.996,51897.42
52284.875,60469.75,8184.875,8184.875,15.654384,45704.035,49412.69,60469.75,49272.3,51862.156
51839.18,59899.344,8060.164,8060.164,15.548402,46153.66,49821.246,59899.344,49585.42,51958.082
51304.973,59954.516,8649.543,8649.543,16.859074,45858.195,49480.66,59954.516,49306.59,51764.457
50731.95,59392.668,8660.719,8660.719,17.071527,45704.19,49016.07,59392.668,48947.598,51370.98
51571.1,58333.1,6762.0,6762.0,13.111995,44902.996,48494.84,58333.1,48260.297,50576.98
51733.24,58166.11,6432.871,6432.871,12.434696,45219.785,48998.234,58166.11,48617.72,50794.707
54522.402,57539.492,3017.0898,3017.0898,5.53367,46103.0,49047.695,57539.492,48903.66,50896.73
57085.37,60146.57,3061.1992,3061.1992,5.362493,48102.13,51262.31,60146.57,51081.805,53170.332
62504.79,62826.266,321.47656,321.47656,0.51432306,48901.78,53237.875,62826.266,52695.61,54988.64
61198.383,64551.617,3353.2344,3353.2344,5.4792857,52664.023,56590.168,64551.617,56017.598,57935.27
62440.633,63924.234,1483.6016,1483.6016,2.3760195,51510.12,55590.297,63924.234,55002.07,57008.22
62029.848,64508.67,2478.8242,2478.8242,3.9961796,52235.562,56813.914,64508.67,55966.273,57852.72
63167.375,65391.6,2224.2266,2224.2266,3.5211635,52099.67,56743.098,65391.6,55979.02,58078.125
68330.414,66998.45,-1331.9609,1331.9609,-1.9492944,52746.746,58017.953,66998.45,57055.77,59254.387
63801.2,68511.09,4709.8945,4709.8945,7.382141,55653.375,61233.145,68511.09,59962.33,61799.203
66106.805,68934.33,2827.5234,2827.5234,4.2772045,53998.21,58266.37,68934.33,57871.855,60399.637
66925.48,69208.625,2283.1484,2283.1484,3.411479,56335.613,60538.113,69208.625,59942.07,62027.45
68300.09,70099.96,1799.8672,1799.8672,2.6352339,56493.637,61483.37,70099.96,60585.656,62692.324
68498.875,71086.39,2587.5156,2587.5156,3.777457,58365.098,62518.06,71086.39,61929.047,63989.848
69019.78,71766.14,2746.3594,2746.3594,3.9790902,57573.363,62192.41,71766.14,61542.25,63843.97
72123.91,71519.69,-604.21875,604.21875,-0.83775103,57655.22,62992.516,71519.69,61954.188,64055.81
71481.29,72309.4,828.1094,828.1094,1.1584982,60331.863,64797.4,72309.4,63971.42,65812.88
73083.5,72340.766,-742.7344,742.7344,-1.016282,60766.152,64259.02,72340.766,63862.74,65788.65
71396.59,72510.96,1114.3672,1114.3672,1.5608128,61215.21,65265.766,72510.96,64565.38,66330.65
69403.77,72350.73,2946.9531,2946.9531,4.2460995,60571.383,63858.434,72350.73,63585.914,65593.51
65315.117,71804.94,6489.8203,6489.8203,9.936169,59693.9,62684.855,71804.94,62594.594,64727.895
68390.625,68143.18,-247.44531,247.44531,-0.36181176,57186.47,60010.695,68143.18,59871.203,61780.113
67548.59,70125.9,2577.3047,2577.3047,3.8154826,57506.55,62014.027,70125.9,61240.227,63215.49
61912.773,70365.71,8452.9375,8452.9375,13.652979,57659.703,61359.375,70365.71,60990.15,63128.26
67913.67,65223.05,-2690.621,2690.621,-3.9618254,53643.215,57941.887,65223.05,57152.418,58936.05
65491.39,68497.09,3005.7031,3005.7031,4.589463,55794.574,61540.152,68497.09,60170.73,61943.938
63778.76,69314.945,5536.1836,5536.1836,8.680293,55614.08,60476.02,69314.945,59651.46,61801.676
64062.203,68266.04,4203.836,4203.836,6.562116,54388.105,59510.35,68266.04,58578.637,60721.5
67234.17,66172.62,-1061.5547,1061.5547,-1.5788916,53393.797,59870.406,66172.62,58152.383,59812.27
69958.81,69534.57,-424.2422,424.2422,-0.6064171,55870.56,62701.47,69534.57,60910.543,62702.2
69987.836,71533.33,1545.4922,1545.4922,2.2082298,58874.625,64353.008,71533.33,63109.203,64920.324
69455.34,71696.41,2241.0625,2241.0625,3.2266238,57226.156,64823.125,71696.41,62749.13,64581.895
70744.95,72010.11,1265.1562,1265.1562,1.7883344,58402.66,64698.1,72010.11,63162.438,65036.957
69892.83,71952.68,2059.8516,2059.8516,2.9471571,59173.992,65580.59,71952.68,63896.77,65569.086
69645.305,72045.49,2400.1875,2400.1875,3.446302,59313.484,64978.734,72045.49,63651.906,65445.906
71333.65,72004.914,671.2656,671.2656,0.9410224,59310.418,64508.434,72004.914,63405.688,65274.59
